68__YOR063W__ETH;5;2,0.18279,21641.20202
68__YOR063W__ETH;10;2,0.207063,18016.428163
68__YOR063W__ETH;11;2,0.208585,18343.677735
68__YOR063W__ETH;12;2,0.221555,18314.388134
68__YOR063W__ETH;13;1,0.230453,15908.596024
68__YOR063W__ETH;12;1,0.235427,16557.159922
68__YOR063W__ETH;5;1,0.235643,15404.19909
68__YOR063W__ETH;17;1,0.236486,15943.805754
68__YOR063W__ETH;16;1,0.237108,15313.566362
68__YOR063W__ETH;7;2,0.237332,15993.622844
68__YOR063W__ETH;6;1,0.238995,15876.43915
68__YOR063W__ETH;14;1,0.241615,15828.661217
68__YOR063W__ETH;18;1,0.242157,16098.186748
68__YOR063W__ETH;10;1,0.245573,15174.989061
68__YOR063W__ETH;15;1,0.24653,16004.21457
68__YOR063W__ETH;7;1,0.247617,14896.079923
68__YOR063W__ETH;11;1,0.248559,15135.805118
68__YOR063W__ETH;16;2,0.252591,16004.103973
68__YOR063W__ETH;4;1,0.252603,14773.092844
68__YOR063W__ETH;4;2,0.254015,15575.333566
68__YOR063W__ETH;8;2,0.254426,16837.056948
68__YOR063W__ETH;13;2,0.25479,15122.524145
68__YOR063W__ETH;9;1,0.261005,15500.238775
68__YOR063W__ETH;6;2,0.261449,16143.524734
68__YOR063W__ETH;8;1,0.263723,14957.893758
68__YOR063W__ETH;9;2,0.266714,16014.439085
68__YOR063W__ETH;14;2,0.267077,16017.221014
68__YOR063W__ETH;15;2,0.2763,16041.096247
68__YOR063W__ETH;18;2,0.279367,16134.917865
68__YOR063W__ETH;17;2,0.285623,15157.907401
68__YOR063W__GLY;30;1,0.327272,13283.101346
68__YOR063W__GLY;27;1,0.3307,13195.290255
68__YOR063W__GLY;29;1,0.331008,12895.439775
68__YOR063W__GLY;24;1,0.332206,13071.214399
68__YOR063W__GLY;26;1,0.333938,12914.487635
68__YOR063W__GLY;23;1,0.336357,12594.76233
68__YOR063W__GLY;33;1,0.337462,12855.593157
68__YOR063W__GLY;25;1,0.338037,12307.345156
68__YOR063W__GLY;28;1,0.338082,12389.44103
68__YOR063W__GLY;32;1,0.340145,12882.199255
68__YOR063W__GLY;31;1,0.341805,12459.540891
68__YOR063W__GLY;22;1,0.343721,11999.212381
68__YOR063W__GLY;21;1,0.350501,12997.622781
68__YOR063W__GLY;20;1,0.360181,12727.012424
68__YOR063W__GLY;31;2,0.374379,12860.449891
68__YOR063W__GLY;26;2,0.376819,13934.508237
68__YOR063W__GLY;25;2,0.384517,13789.796611
68__YOR063W__GLY;19;1,0.384629,12179.300733
68__YOR063W__GLY;32;2,0.396595,13023.468758
68__YOR063W__GLY;30;2,0.399731,12847.021679
68__YOR063W__GLY;27;2,0.402383,12682.71541
68__YOR063W__GLY;28;2,0.404026,12797.249958
68__YOR063W__GLY;29;2,0.406048,12839.878383
68__YOR063W__GLY;21;2,0.406256,13366.876581
68__YOR063W__GLY;20;2,0.40706,13331.985507
68__YOR063W__GLY;24;2,0.407992,12962.931587
68__YOR063W__GLY;23;2,0.411691,12731.456187
68__YOR063W__GLY;22;2,0.414629,12601.713068
68__YOR063W__GLY;19;2,0.421886,12958.41354
68__YOR063W__GLY;33;2,0.442283,10605.970361
68__YOR063W__GAL_AA;29;4,0.643836,8640.734724
68__YOR063W__GAL_AA;30;4,0.711829,8273.460234
68__YOR063W__GAL_AA;28;4,0.717089,7982.725927
68__YOR063W__GAL_AA;4;4,0.760435,7413.647234
68__YOR063W__GAL;7;4,0.773237,6454.437823
68__YOR063W__GAL_AA;6;4,0.775902,7998.606283
68__YOR063W__GAL_AA;5;4,0.805888,8015.767468
68__YOR063W__SCD_AA;9;3,0.821598,6796.789123
68__YOR063W__GAL_AA;29;2,0.831861,7023.555162
68__YOR063W__GAL_AA;22;1,0.8448,7147.401017
68__YOR063W__SCD_AA;8;3,0.864053,7141.696774
68__YOR063W__GAL_AA;28;2,0.869612,7151.240693
68__YOR063W__GAL;20;4,0.875327,6161.942334
68__YOR063W__GAL;8;4,0.882541,6172.542023
68__YOR063W__GAL;9;4,0.88686,6206.930215
68__YOR063W__SCD_AA;7;3,0.889866,7019.438797
68__YOR063W__SCD_AA;9;2,0.906631,6272.187952
68__YOR063W__GAL_AA;30;2,0.915358,6612.743437
68__YOR063W__GAL_AA;24;3,0.916922,7422.492791
68__YOR063W__GAL;21;4,0.918431,6201.147861
68__YOR063W__GAL_AA;23;1,0.927843,7211.539411
68__YOR063W__GAL_AA;22;3,0.929754,7233.832743
68__YOR063W__GAL_AA;23;3,0.930973,7364.040823
68__YOR063W__GAL;19;4,0.935993,6445.324715
68__YOR063W__GAL_AA;5;2,0.951,6385.277132
68__YOR063W__GAL_AA;6;2,0.95307,7002.826114
68__YOR063W__SCD_AA;7;2,0.965446,6294.64761
68__YOR063W__SCD_AA;15;2,0.971011,6504.302078
68__YOR063W__SCD_AA;9;4,0.996414,6649.428439
68__YOR063W__GAL;11;3,0.998655,6533.279192
68__YOR063W__GAL_AA;4;2,1.001619,6406.590157
68__YOR063W__NaCl;30;4,1.00655,5653.213394
68__YOR063W__SCD_AA;8;2,1.028882,6286.629213
68__YOR063W__SCD_AA;13;2,1.03425,6340.672639
68__YOR063W__GAL;12;3,1.034676,6526.764379
68__YOR063W__GAL_AA;24;1,1.03549,6612.289631
68__YOR063W__SCD_AA;14;2,1.038029,6460.688156
68__YOR063W__SCD_AA;15;4,1.041878,6723.88324
68__YOR063W__GAL;10;3,1.049854,6152.983652
68__YOR063W__SCD_AA;14;4,1.067661,6641.613641
68__YOR063W__GAL;20;2,1.067801,5943.109044
68__YOR063W__SCD_AA;9;1,1.071533,6354.859283
68__YOR063W__SCD_AA;8;4,1.089157,6581.985788
68__YOR063W__GAL;7;2,1.102642,5447.287799
68__YOR063W__SCD_AA;13;4,1.10406,6427.390138
68__YOR063W__SCD_AA;7;4,1.111393,6465.467353
68__YOR063W__SCD_AA;8;1,1.117704,6683.490264
68__YOR063W__GAL;8;2,1.129202,5993.845442
68__YOR063W__SCD_AA;7;1,1.15122,6515.926692
68__YOR063W__GAL;21;2,1.187965,5940.07577
68__YOR063W__GAL;9;2,1.203043,5883.902607
68__YOR063W__NaCl;28;4,1.221027,5311.898751
68__YOR063W__GAL;19;2,1.238924,5779.460957
68__YOR063W__SORB;25;4,1.253143,5183.85036
68__YOR063W__NaCl;29;2,1.259392,5479.815989
68__YOR063W__NaCl;32;1,1.265121,5372.478078
68__YOR063W__NaCl;31;1,1.26597,5273.193421
68__YOR063W__GAL;11;1,1.277055,5508.710252
68__YOR063W__GAL;12;1,1.278136,5724.064783
68__YOR063W__NaCl;20;1,1.282395,5596.254851
68__YOR063W__SORB;26;4,1.296915,5257.200026
68__YOR063W__GAL;10;1,1.299015,5202.021462
68__YOR063W__NaCl;33;3,1.337854,5339.285473
68__YOR063W__NaCl;31;3,1.342415,5365.458043
68__YOR063W__NaCl;20;3,1.370625,5431.823659
68__YOR063W__NaCl;32;3,1.379833,5281.871854
68__YOR063W__NaCl;27;4,1.40893,5447.250263
68__YOR063W__NaCl;28;2,1.409563,4960.282682
68__YOR063W__NaCl;27;2,1.431584,5326.361041
68__YOR063W__NaCl;30;2,1.44048,5169.800733
68__YOR063W__SORB;27;4,1.442235,5190.256244
68__YOR063W__NaCl;21;3,1.46227,5099.975453
68__YOR063W__SCD;5;3,1.472211,5049.253206
68__YOR063W__SCD;26;3,1.472611,5104.27588
68__YOR063W__NaCl;21;1,1.478131,5103.737671
68__YOR063W__NaCl;33;1,1.480917,5096.022716
68__YOR063W__NaCl;26;2,1.510388,5576.851286
68__YOR063W__NaCl;25;4,1.514566,5151.581946
68__YOR063W__FRUC;12;4,1.519045,4328.200661
68__YOR063W__FRUC;13;1,1.533163,4341.563505
68__YOR063W__NaCl;19;3,1.536502,5246.431104
68__YOR063W__NaCl;25;2,1.540666,5077.578443
68__YOR063W__NaCl;31;3,1.544387,5361.757581
68__YOR063W__SCD;6;3,1.547251,4851.923879
68__YOR063W__SCD;25;3,1.551432,4870.440016
68__YOR063W__SORB;25;2,1.559108,5908.653438
68__YOR063W__SCD;27;3,1.572671,4917.646155
68__YOR063W__SCD;4;3,1.574268,4724.74979
68__YOR063W__NaCl;33;3,1.58878,5455.908995
68__YOR063W__FRUC;14;1,1.592243,4569.409087
68__YOR063W__FRUC;10;4,1.595448,4434.527013
68__YOR063W__FRUC;11;4,1.596068,4452.701542
68__YOR063W__NaCl;26;4,1.601644,5464.012134
68__YOR063W__SORB;26;2,1.604849,5489.995128
68__YOR063W__NaCl;20;3,1.611991,5199.244398
68__YOR063W__FRUC;12;2,1.623648,4855.850719
68__YOR063W__FRUC;13;3,1.641375,4531.580092
68__YOR063W__NaCl;19;3,1.642974,5310.436159
68__YOR063W__FRUC;20;2,1.645208,4819.069619
68__YOR063W__NaCl;33;1,1.660973,5018.156983
68__YOR063W__FRUC;14;3,1.675206,4842.326018
68__YOR063W__SCD;26;1,1.676443,4800.357895
68__YOR063W__NaCl;32;3,1.689843,4980.875333
68__YOR063W__FRUC;15;3,1.694044,4620.277914
68__YOR063W__FRUC;11;2,1.696426,4915.371703
68__YOR063W__FRUC;15;1,1.72041,4443.181933
68__YOR063W__NaCl;21;3,1.725267,5127.465772
68__YOR063W__SORB;29;1,1.73079,4720.926043
68__YOR063W__FRUC;21;2,1.731159,4788.952534
68__YOR063W__SCD;13;4,1.741401,4293.912443
68__YOR063W__SCD;15;2,1.745362,4705.77221
68__YOR063W__SCD;13;2,1.746202,4664.476042
68__YOR063W__FRUC;19;2,1.747327,4505.734215
68__YOR063W__SCD;15;4,1.749531,4504.38066
68__YOR063W__SCD;4;1,1.761147,4510.94503
68__YOR063W__SCD;14;2,1.768606,4622.758408
68__YOR063W__SCD;14;4,1.795851,4488.328034
68__YOR063W__FRUC;10;2,1.796763,4635.268592
68__YOR063W__SCD;5;1,1.799086,4626.745082
68__YOR063W__SCD;25;1,1.812344,4502.857637
68__YOR063W__SORB;28;3,1.816717,4934.394264
68__YOR063W__FRUC;21;4,1.822042,4562.456564
68__YOR063W__SCD;6;1,1.838195,4520.305986
68__YOR063W__SORB;27;2,1.84133,4739.952113
68__YOR063W__SORB;30;3,1.856197,5077.456703
68__YOR063W__SCD;32;4,1.863546,4859.57022
68__YOR063W__SCD;27;1,1.869023,4611.161326
68__YOR063W__FRUC;20;4,1.872113,4627.133345
68__YOR063W__NaCl;31;1,1.881011,4792.209326
68__YOR063W__FRUC;19;4,1.881563,4360.619241
68__YOR063W__SORB;29;3,1.885801,5085.742195
68__YOR063W__SORB;18;3,1.896537,4884.786819
68__YOR063W__SCD;32;2,1.907318,4710.161353
68__YOR063W__SCD;31;2,1.915894,4633.299323
68__YOR063W__SCD;33;4,1.916773,4780.639084
68__YOR063W__SCD;31;4,1.93222,4590.657842
68__YOR063W__SCD;12;2,1.935674,4807.262968
68__YOR063W__SORB;17;3,1.945653,5056.734941
68__YOR063W__SCD;11;2,1.956033,4790.876271
68__YOR063W__SCD;10;2,1.972771,4599.948168
68__YOR063W__SORB;29;1,1.987837,4661.805169
68__YOR063W__SCD;12;4,1.995504,4836.429249
68__YOR063W__SORB;30;1,2.00594,4586.083997
68__YOR063W__SORB;23;4,2.010483,4856.941916
68__YOR063W__SCD;27;1,2.027163,4492.649991
68__YOR063W__SCD;27;3,2.027494,4610.143379
68__YOR063W__SCD;33;2,2.031022,4625.645129
68__YOR063W__SORB;18;1,2.034807,4513.635748
68__YOR063W__SORB;17;1,2.035836,4609.70332
68__YOR063W__SORB;23;2,2.035837,4835.190826
68__YOR063W__SORB;28;1,2.036525,4274.747779
68__YOR063W__SORB;24;2,2.048168,4972.046571
68__YOR063W__SCD;11;4,2.054209,4777.602249
68__YOR063W__NaCl;32;1,2.054416,5015.675901
68__YOR063W__FRUC;14;1,2.065675,4528.502615
68__YOR063W__SORB;16;3,2.068693,4851.246967
68__YOR063W__SORB;30;1,2.068979,4694.584898
68__YOR063W__SORB;24;4,2.073354,4947.179531
68__YOR063W__NaCl;20;1,2.08057,4674.43803
68__YOR063W__SCD;5;3,2.084678,4304.187708
68__YOR063W__NaCl;21;1,2.085641,4796.950705
68__YOR063W__SCD;25;3,2.088384,4515.050057
68__YOR063W__SCD;26;1,2.089046,4587.426718
68__YOR063W__SCD;10;4,2.091086,4506.814056
68__YOR063W__SCD;25;1,2.09583,4460.621485
68__YOR063W__SCD;26;3,2.096601,4556.399376
68__YOR063W__FRUC;13;1,2.10922,4490.417565
68__YOR063W__SORB;18;1,2.113998,4649.765153
68__YOR063W__SCD;6;3,2.115228,4712.802244
68__YOR063W__FRUC;14;3,2.121056,4482.267339
68__YOR063W__SORB;17;1,2.121057,5057.720413
68__YOR063W__FRUC;15;1,2.142413,4213.178307
68__YOR063W__FRUC;15;3,2.164979,4455.434424
68__YOR063W__FRUC;13;3,2.181801,4356.608959
68__YOR063W__SCD;6;1,2.184672,4308.07347
68__YOR063W__SCD;5;1,2.192656,4297.298794
68__YOR063W__SCD;4;3,2.199523,4393.421254
68__YOR063W__NaCl;19;1,2.207932,4898.93179
68__YOR063W__SORB;28;1,2.210954,4485.962942
68__YOR063W__SCD;4;1,2.2274,4137.443364
68__YOR063W__SORB;22;2,2.23708,4501.318799
68__YOR063W__SORB;16;1,2.276236,4673.416769
68__YOR063W__SORB;30;3,2.302062,4724.215716
68__YOR063W__SORB;29;3,2.343158,4458.348807
68__YOR063W__SORB;28;3,2.376226,4589.2527
68__YOR063W__SORB;18;3,2.485924,4422.919295
68__YOR063W__SORB;17;3,2.597391,4534.830124
68__YOR063W__SORB;16;3,2.689821,4507.084548
